Age,Gender,Location,Language,Education Level,Likes and Reactions,Followed Accounts,Device Usage,Time Spent Online (hrs/weekday),Time Spent Online (hrs/weekend),Click-Through Rates (CTR),Conversion Rates,Ad Interaction Time (sec),Income Level,Top Interests,Segment,PCA1,PCA2
65+,Female,Suburban,English,PhD,5554,23,Mobile Only,3.7,2.6,0.158,0.095,108,60k-80k,['Eco-Friendly Living'],4,1.4021168449274968,-1.254700930624386
35-44,Male,Rural,English,Technical,3250,334,Desktop Only,1.8,6.8,0.072,0.085,36,60k-80k,['Gourmet Cooking'],3,-1.5961016777962123,-0.23572157666642723
45-54,Male,Urban,Mandarin,Master,9897,155,Desktop Only,1.6,5.3,0.191,0.033,158,100k+,"['Fitness and Wellness', 'Gourmet Cooking']",3,-1.192432578981645,2.2450035534209523
35-44,Male,Rural,Hindi,PhD,6514,435,Tablet,2.1,4.1,0.135,0.04,62,80k-100k,"['Software Engineering', 'Fitness and Wellness']",3,-2.061749025636414,-1.223466755902025
25-34,Female,Urban,English,PhD,4757,66,Mobile Only,1.3,7.6,0.032,0.042,171,0-20k,"['Eco-Friendly Living', 'Pet Care', 'Digital Marketing']",2,1.8748756679513752,0.478399379408671
25-34,Female,Suburban,English,High School,7047,220,Mobile + Desktop,3.6,1.3,0.132,0.063,152,0-20k,"['Fitness and Wellness', 'Fashion Modelling']",2,1.313469148206922,-0.8134936929907602
45-54,Male,Rural,Spanish,Master,8043,277,Mobile Only,3.3,7.0,0.099,0.029,86,40k-60k,['Gaming'],4,-1.1475001448064788,0.5474272757234329
45-54,Male,Urban,Spanish,Bachelor,3762,219,Desktop Only,2.7,8.0,0.045,0.097,54,80k-100k,"['Gourmet Cooking', 'Fitness and Wellness', 'Gardening', 'Digital Marketing']",0,-1.0356681409029918,1.7886813581456737
45-54,Female,Rural,Hindi,High School,4582,26,Tablet,2.3,7.2,0.21,0.061,56,40k-60k,"['Gaming', 'Reading and Literature']",4,0.960148924635588,-0.8508668703267905
45-54,Female,Rural,Mandarin,High School,4897,295,Mobile Only,4.6,6.7,0.003,0.04,90,60k-80k,"['Reading and Literature', 'Eco-Friendly Living', 'Fitness and Wellness']",4,1.265941310207685,-1.4179239519411793
18-24,Female,Rural,Hindi,Technical,5168,353,Mobile Only,0.6,3.6,0.078,0.065,119,80k-100k,"['Pet Care', 'Investing and Finance', 'Eco-Friendly Living', 'Reading and Literature']",2,1.804226250408341,-0.7956865286425243
35-44,Male,Rural,Mandarin,Technical,5580,212,Desktop Only,4.0,2.6,0.003,0.04,154,100k+,"['Gaming', 'Gourmet Cooking']",3,-1.5156457208959528,0.08823233100900185
18-24,Female,Urban,English,Technical,8133,108,Desktop Only,4.6,6.1,0.024,0.082,57,80k-100k,"['Software Engineering', 'Eco-Friendly Living']",0,1.3075991622982654,0.8611432612462281
35-44,Female,Suburban,Spanish,High School,1083,288,Mobile Only,2.5,3.1,0.074,0.057,70,0-20k,"['Fashion Modelling', 'Travel and Adventure']",0,1.3526017868238858,-1.819787595534356
35-44,Female,Urban,Hindi,Bachelor,5707,218,Desktop Only,3.0,2.2,0.014,0.004,121,20k-40k,"['Digital Marketing', 'Eco-Friendly Living', 'Gourmet Cooking', 'Travel and Adventure']",2,1.1982878963171242,1.7175463993908873
55-64,Male,Urban,Hindi,PhD,8643,138,Desktop Only,4.8,6.5,0.149,0.018,47,40k-60k,"['Gardening', 'Pet Care']",3,-1.0024927499250078,2.37599498154381
25-34,Male,Urban,Mandarin,Technical,9571,344,Desktop Only,1.5,3.2,0.022,0.086,86,0-20k,"['Fitness and Wellness', 'Eco-Friendly Living', 'Gourmet Cooking']",3,-1.1685735999494373,2.4463406159088845
18-24,Female,Suburban,Mandarin,Bachelor,2007,297,Desktop Only,2.8,7.4,0.175,0.056,155,100k+,['Investing and Finance'],2,1.7083485758756474,-0.9685609151058612
18-24,Male,Rural,Hindi,Master,7024,261,Desktop Only,2.6,6.9,0.013,0.095,68,80k-100k,"['Software Engineering', 'Digital Marketing']",3,-1.3137500726635505,-0.8729969183103777
45-54,Female,Rural,Mandarin,Technical,9316,274,Tablet,1.7,6.9,0.015,0.007,141,20k-40k,"['Gourmet Cooking', 'Pet Care', 'Software Engineering']",2,0.7749974285386884,-0.7334256296152653
45-54,Female,Rural,Hindi,PhD,8837,280,Desktop Only,4.2,6.4,0.076,0.03,117,60k-80k,"['Eco-Friendly Living', 'Music Production', 'Gaming', 'Investing and Finance']",4,1.2395298077974275,0.5269914307501226
18-24,Female,Suburban,Hindi,Master,4274,421,Mobile + Desktop,4.5,7.2,0.224,0.019,139,40k-60k,"['Travel and Adventure', 'Fashion Modelling', 'Reading and Literature']",2,1.7235666614648113,-0.8910290334326333
18-24,Male,Rural,Hindi,Master,9180,417,Mobile Only,4.0,6.6,0.16,0.055,173,0-20k,"['Digital Marketing', 'Photography', 'Gaming', 'Gardening']",3,-0.46458076415040206,-0.5572594050915388
45-54,Female,Suburban,English,PhD,7365,197,Tablet,1.4,5.2,0.193,0.038,58,40k-60k,"['Gaming', 'Digital Marketing']",4,1.3628837808722023,-1.0435697938758555
18-24,Male,Rural,Mandarin,Technical,9397,428,Tablet,0.9,3.1,0.035,0.016,69,40k-60k,['Eco-Friendly Living'],3,-1.8039644104320378,-0.35275370541344025
55-64,Male,Rural,Spanish,High School,2090,223,Desktop Only,3.2,7.2,0.209,0.064,6,60k-80k,"['Music Production', 'Data Science', 'Software Engineering', 'Investing and Finance']",3,-2.1643349123861406,-0.4354778807320049
45-54,Female,Urban,Spanish,PhD,5696,292,Mobile Only,0.8,6.9,0.002,0.054,136,100k+,"['Investing and Finance', 'Fitness and Wellness', 'Fashion Modelling']",0,1.4652179551039377,1.9215420381329777
18-24,Male,Suburban,Mandarin,PhD,4098,220,Mobile + Desktop,3.5,4.3,0.053,0.027,82,80k-100k,"['Digital Marketing', 'Photography', 'Gardening']",1,-1.0597348068582169,-1.8101411684479136
18-24,Female,Urban,Hindi,PhD,3875,374,Desktop Only,2.9,1.3,0.154,0.048,36,20k-40k,['Photography'],2,1.3307559723896598,1.8614070314002935
65+,Female,Urban,Spanish,Master,9212,85,Mobile Only,3.5,5.5,0.094,0.075,104,100k+,['Photography'],4,1.4690364437351453,1.9782077634456883
25-34,Male,Urban,Spanish,Bachelor,4745,157,Desktop Only,3.2,1.4,0.246,0.021,134,60k-80k,"['Gourmet Cooking', 'Fashion Modelling', 'Photography']",3,-1.5175659893497413,2.4276691335319898
25-34,Male,Suburban,Mandarin,High School,2161,330,Desktop Only,2.4,7.5,0.008,0.029,108,80k-100k,"['Software Engineering', 'Data Science', 'Gardening', 'Pet Care']",3,-1.1563235568188523,-1.9546036348662261
55-64,Female,Suburban,Spanish,Technical,4587,222,Desktop Only,1.4,7.7,0.25,0.035,146,20k-40k,"['Eco-Friendly Living', 'Data Science', 'Reading and Literature', 'Pet Care']",2,1.5758045565924783,-0.32229221344945314
55-64,Female,Rural,Hindi,Technical,4535,442,Desktop Only,1.9,2.3,0.156,0.075,152,80k-100k,"['Software Engineering', 'Reading and Literature']",0,1.277016553083695,-0.5094440148939543
65+,Male,Urban,Mandarin,Bachelor,2744,118,Desktop Only,2.9,5.7,0.14,0.085,93,60k-80k,['Gardening'],3,-1.495477741029229,1.0591938608236302
45-54,Male,Rural,Hindi,PhD,1145,138,Desktop Only,3.4,1.6,0.015,0.038,53,40k-60k,"['Gardening', 'Travel and Adventure', 'Eco-Friendly Living', 'Music Production']",3,-1.5184664259376357,0.4609654656896076
25-34,Male,Urban,Spanish,High School,8051,19,Desktop Only,4.0,6.1,0.068,0.03,140,20k-40k,['Fitness and Wellness'],3,-1.7201053076244934,1.9849524391370386
18-24,Male,Suburban,Spanish,Technical,6549,56,Mobile + Desktop,4.0,3.4,0.231,0.089,178,100k+,"['Gardening', 'Pet Care']",1,-0.825662816246078,0.2120691240146329
45-54,Male,Suburban,Hindi,Technical,2781,388,Tablet,4.9,5.8,0.089,0.1,153,80k-100k,"['Data Science', 'Travel and Adventure', 'Gaming', 'Investing and Finance']",3,-0.7382283964403389,-1.2720732455969235
35-44,Male,Suburban,English,PhD,3299,324,Mobile + Desktop,1.8,3.6,0.165,0.067,91,100k+,"['Eco-Friendly Living', 'Gardening', 'Fitness and Wellness']",1,-1.2588499554444685,-0.5544517796681104
35-44,Female,Urban,Spanish,Bachelor,6868,105,Desktop Only,0.8,2.0,0.25,0.099,164,40k-60k,['Travel and Adventure'],0,1.0625601540855107,2.2387466412498034
55-64,Male,Suburban,English,High School,9230,455,Desktop Only,2.1,3.8,0.066,0.066,12,0-20k,['Data Science'],3,-1.0750312773989297,-0.8521557584165481
18-24,Male,Urban,Spanish,Bachelor,7540,112,Mobile + Desktop,3.8,1.8,0.144,0.073,105,100k+,"['DIY Crafts', 'Photography']",1,-1.4442845024765627,2.5547422378366744
35-44,Female,Rural,English,Bachelor,8733,389,Mobile + Desktop,2.5,5.0,0.174,0.039,20,60k-80k,"['Photography', 'Gaming']",4,1.0646904308627585,0.047771361605617055
18-24,Male,Urban,English,High School,2650,351,Tablet,4.2,1.3,0.041,0.043,44,60k-80k,['Gaming'],3,-1.487905093634659,-0.139250912083724
35-44,Male,Rural,English,High School,4325,155,Mobile + Desktop,3.0,4.7,0.037,0.014,110,60k-80k,"['Gaming', 'Reading and Literature', 'Investing and Finance']",1,-1.9525959905354655,-1.4399724039255437
18-24,Male,Urban,Hindi,Technical,696,377,Tablet,4.7,7.2,0.114,0.082,31,100k+,"['Data Science', 'Software Engineering', 'Photography', 'Digital Marketing']",3,-1.2707547022653953,0.9445460874568402
18-24,Male,Rural,English,Technical,6154,439,Desktop Only,4.8,6.9,0.096,0.093,108,100k+,"['Gaming', 'Data Science', 'Fitness and Wellness']",3,-1.0834035276414475,0.32857190005298853
18-24,Female,Suburban,English,High School,1605,425,Mobile Only,0.8,7.2,0.179,0.062,109,100k+,['Reading and Literature'],4,1.9201123766252632,-2.1351149946448795
45-54,Female,Rural,English,Master,9153,36,Mobile Only,2.6,7.5,0.017,0.034,150,80k-100k,"['Eco-Friendly Living', 'Music Production', 'Gardening', 'Gourmet Cooking']",4,1.7365547428032806,-1.0602660408420344
45-54,Female,Suburban,Spanish,Technical,6568,229,Mobile Only,3.2,1.7,0.243,0.015,39,100k+,"['Gaming', 'DIY Crafts', 'Photography']",4,1.7327764835735544,0.8156258044601798
35-44,Female,Suburban,English,Master,7336,27,Mobile Only,1.7,1.9,0.004,0.027,117,100k+,"['Investing and Finance', 'Travel and Adventure']",4,1.7626198270935116,-1.2935408119942415
65+,Male,Rural,Spanish,High School,1651,176,Desktop Only,2.3,4.9,0.15,0.026,56,80k-100k,"['Investing and Finance', 'Gourmet Cooking', 'Software Engineering']",0,-2.5913959956155272,-0.621413002844244
25-34,Male,Urban,English,Technical,6952,442,Mobile Only,3.5,7.3,0.141,0.061,147,100k+,['Fashion Modelling'],3,-0.7745188772461479,1.5484777201378037
25-34,Female,Urban,English,Bachelor,1549,486,Mobile + Desktop,1.5,7.8,0.034,0.095,57,80k-100k,['Gourmet Cooking'],0,1.666602955774877,1.1704196848797173
55-64,Female,Urban,Hindi,High School,6053,91,Mobile + Desktop,3.2,1.3,0.038,0.005,95,40k-60k,"['Travel and Adventure', 'Data Science', 'DIY Crafts']",4,0.988222391867882,2.1008891641433496
25-34,Male,Urban,Spanish,PhD,8556,437,Mobile Only,3.6,3.5,0.198,0.0,85,80k-100k,"['Investing and Finance', 'Software Engineering', 'Pet Care']",3,-1.317756724534408,1.3126385688695297
65+,Female,Urban,English,Master,8142,81,Mobile + Desktop,0.9,2.5,0.222,0.06,108,20k-40k,"['Software Engineering', 'Gardening']",2,0.7280106118114744,1.274710820463725
18-24,Female,Suburban,Spanish,High School,2759,319,Tablet,2.7,6.3,0.071,0.028,70,60k-80k,"['Digital Marketing', 'Data Science']",0,1.1668603431882592,-2.0648417064259252
65+,Female,Urban,Spanish,High School,7609,488,Desktop Only,1.7,5.5,0.109,0.088,117,100k+,"['Fashion Modelling', 'Reading and Literature', 'Digital Marketing']",0,0.8849781967669331,1.257265063303738
18-24,Female,Suburban,Mandarin,Technical,7993,263,Mobile Only,3.8,1.8,0.089,0.033,35,0-20k,"['Fitness and Wellness', 'Reading and Literature']",4,1.9117751162402667,-1.2976846280301362
55-64,Male,Suburban,Hindi,Technical,7545,171,Mobile Only,1.4,4.4,0.018,0.029,65,100k+,"['Travel and Adventure', 'Eco-Friendly Living']",3,-0.5446709224060143,0.1371702831981559
35-44,Male,Suburban,Hindi,Technical,2821,336,Desktop Only,4.5,5.8,0.168,0.027,105,20k-40k,['Reading and Literature'],3,-1.1862134603366812,-0.7215570260743229
65+,Male,Rural,Hindi,PhD,9754,429,Mobile + Desktop,2.4,6.5,0.206,0.014,109,20k-40k,"['Gourmet Cooking', 'Reading and Literature', 'Fashion Modelling', 'Fitness and Wellness']",1,-2.142223197569403,0.3260455221227895
18-24,Male,Rural,Mandarin,Technical,9737,411,Desktop Only,1.4,1.1,0.076,0.058,102,20k-40k,['Digital Marketing'],3,-1.6073370815073846,-0.1350892314103608
35-44,Male,Suburban,Mandarin,High School,3025,47,Desktop Only,2.5,7.2,0.248,0.017,38,20k-40k,"['Gardening', 'Fashion Modelling', 'Software Engineering']",3,-2.039539948303187,-2.0072387391551136
65+,Female,Rural,Hindi,Technical,9924,452,Mobile + Desktop,2.3,5.0,0.019,0.042,63,60k-80k,"['DIY Crafts', 'Music Production', 'Fashion Modelling', 'Travel and Adventure']",4,0.6564292373644133,0.7243909252518509
35-44,Female,Urban,Mandarin,Bachelor,7204,402,Desktop Only,2.4,6.7,0.165,0.046,7,60k-80k,"['Digital Marketing', 'Fitness and Wellness', 'Photography']",4,1.2091056075113384,1.481412652999799
45-54,Male,Urban,Mandarin,Technical,6340,210,Mobile + Desktop,3.1,6.7,0.112,0.002,21,0-20k,"['DIY Crafts', 'Music Production', 'Investing and Finance']",1,-1.6386224199366979,1.831270666531871
45-54,Male,Suburban,Mandarin,PhD,612,209,Mobile + Desktop,2.8,2.3,0.112,0.002,82,80k-100k,['Photography'],1,-1.3336002257928505,-1.2243550206954197
35-44,Female,Urban,Hindi,Bachelor,315,264,Desktop Only,1.2,1.8,0.114,0.052,50,0-20k,"['Pet Care', 'Eco-Friendly Living', 'Travel and Adventure', 'Investing and Finance']",2,1.4313307131549362,1.5405511835756007
45-54,Male,Suburban,Hindi,High School,7399,188,Tablet,0.8,6.0,0.065,0.07,170,40k-60k,"['Photography', 'Investing and Finance']",3,-1.3395944525572963,-0.45422045218462037
35-44,Male,Suburban,Hindi,High School,3253,44,Mobile + Desktop,3.8,2.1,0.179,0.094,39,80k-100k,"['Investing and Finance', 'Digital Marketing', 'Gaming']",1,-1.372719712740045,-1.2239779148228522
55-64,Male,Urban,Mandarin,Master,7550,91,Desktop Only,3.0,6.9,0.18,0.018,133,40k-60k,"['Travel and Adventure', 'Gardening', 'Pet Care']",3,-0.9737565117949787,1.4001485833545675
18-24,Female,Rural,Hindi,Bachelor,1806,398,Mobile + Desktop,2.1,6.1,0.071,0.01,116,40k-60k,"['Eco-Friendly Living', 'Pet Care']",2,1.3342167092317359,0.5462062496994411
25-34,Male,Urban,Mandarin,Master,1667,407,Tablet,4.1,6.9,0.209,0.005,161,100k+,"['Fitness and Wellness', 'Music Production']",3,-1.2914512360379429,0.6276338145985412
65+,Male,Urban,English,Bachelor,1228,229,Tablet,2.2,3.1,0.079,0.044,136,0-20k,"['Digital Marketing', 'Travel and Adventure']",3,-1.6594130698016556,-0.13423551016306468
55-64,Female,Suburban,Mandarin,Bachelor,3610,167,Mobile Only,4.1,3.2,0.181,0.062,65,20k-40k,"['Pet Care', 'Gourmet Cooking']",2,1.9494612036414218,-1.0068948914327653
35-44,Female,Suburban,Spanish,PhD,7967,13,Mobile + Desktop,1.9,5.7,0.03,0.084,101,0-20k,"['Music Production', 'Data Science', 'Fashion Modelling', 'Photography']",0,1.1038068547636022,-0.6199179222073417
45-54,Male,Suburban,Hindi,Master,2465,176,Mobile + Desktop,0.8,1.2,0.042,0.068,149,0-20k,['Software Engineering'],1,-1.1131093217826349,-0.42176236306066545
25-34,Female,Suburban,Hindi,PhD,5683,477,Desktop Only,4.7,6.1,0.079,0.021,160,100k+,"['Photography', 'Eco-Friendly Living']",2,1.879189442038428,0.33541972936258524
25-34,Male,Rural,Spanish,Bachelor,4997,457,Mobile + Desktop,2.3,6.9,0.148,0.046,94,80k-100k,"['Investing and Finance', 'Photography', 'Gourmet Cooking']",1,-1.5321383389627063,0.5162286142808182
35-44,Male,Rural,Mandarin,High School,5818,418,Mobile Only,4.1,3.9,0.161,0.091,140,100k+,"['Music Production', 'Investing and Finance']",3,-1.5577569284520631,-1.1363047543449554
25-34,Male,Rural,English,Bachelor,6101,421,Tablet,1.8,6.4,0.099,0.033,166,40k-60k,['Digital Marketing'],3,-1.5468850278546853,-0.6951906564869672
35-44,Female,Suburban,Spanish,PhD,4667,213,Tablet,3.4,2.2,0.019,0.05,63,100k+,"['Reading and Literature', 'Software Engineering', 'DIY Crafts']",0,0.7534403801336389,-1.7452585215924292
18-24,Female,Suburban,Spanish,Master,9371,203,Mobile Only,4.4,3.3,0.093,0.096,22,0-20k,"['Travel and Adventure', 'Photography']",4,2.0946140291494384,-0.7944629868272454
65+,Male,Suburban,Mandarin,Master,2841,244,Mobile + Desktop,0.7,7.8,0.172,0.073,99,60k-80k,"['Digital Marketing', 'Gardening']",1,-1.2955225622145066,-1.3263367721465242
65+,Male,Rural,Hindi,PhD,3120,215,Mobile + Desktop,4.2,7.9,0.168,0.075,159,20k-40k,"['Gourmet Cooking', 'Travel and Adventure']",1,-1.9115857627568655,-0.06613098636743885
45-54,Female,Suburban,Mandarin,Master,6356,159,Mobile Only,3.1,4.6,0.04,0.025,20,20k-40k,"['DIY Crafts', 'Music Production']",4,1.596888498180082,-1.0428377805663804
35-44,Female,Urban,Spanish,Technical,328,168,Desktop Only,3.2,7.5,0.002,0.041,14,80k-100k,['Music Production'],0,1.12624640898866,1.14229380735165
25-34,Female,Urban,Spanish,High School,8462,288,Tablet,2.9,4.7,0.188,0.008,108,80k-100k,"['Pet Care', 'Digital Marketing']",0,1.1218770379341434,0.40623081248905163
55-64,Female,Suburban,Hindi,High School,394,313,Mobile Only,4.4,3.0,0.027,0.061,80,0-20k,"['Gaming', 'Investing and Finance', 'Fashion Modelling']",4,1.9383186844250486,-1.3486286670712733
45-54,Male,Urban,Hindi,High School,4384,413,Mobile Only,0.7,2.9,0.021,0.01,154,0-20k,"['Investing and Finance', 'Gaming', 'Data Science', 'Gourmet Cooking']",3,-0.9439263484290578,1.5627910847694435
25-34,Female,Urban,Hindi,Master,8717,390,Mobile + Desktop,1.7,7.5,0.001,0.084,20,40k-60k,"['Eco-Friendly Living', 'Photography', 'DIY Crafts', 'Gaming']",2,1.6303363685665455,3.1907763319827955
55-64,Male,Rural,Mandarin,Master,6901,175,Tablet,4.4,2.2,0.108,0.081,16,80k-100k,"['Photography', 'Eco-Friendly Living', 'Reading and Literature']",3,-1.4655411997687342,-2.031660715229197
55-64,Female,Suburban,Hindi,Bachelor,1018,320,Mobile + Desktop,3.9,5.1,0.126,0.053,79,60k-80k,"['Investing and Finance', 'Gardening']",2,1.8674317476566888,-0.33030621184103337
55-64,Male,Suburban,Spanish,Bachelor,598,77,Mobile Only,0.6,4.9,0.159,0.014,133,40k-60k,"['Pet Care', 'Fashion Modelling', 'Digital Marketing', 'Eco-Friendly Living']",3,-0.9864770557036663,-0.44241871558450335
45-54,Female,Rural,Spanish,High School,2909,472,Desktop Only,2.8,6.2,0.074,0.003,31,40k-60k,"['DIY Crafts', 'Fashion Modelling', 'Gaming']",4,0.623482798505797,0.5106791004479105
45-54,Female,Urban,English,Technical,5061,97,Tablet,2.9,4.5,0.178,0.08,16,20k-40k,"['Fitness and Wellness', 'Reading and Literature', 'Data Science']",2,1.1420314558367048,0.720551674723959
35-44,Male,Urban,Mandarin,Bachelor,9117,226,Mobile Only,2.3,2.9,0.042,0.06,34,60k-80k,['Pet Care'],3,-1.0507250412248836,0.9826521735478045
55-64,Male,Suburban,English,Bachelor,3879,10,Mobile Only,1.8,2.2,0.208,0.071,13,40k-60k,"['DIY Crafts', 'Eco-Friendly Living']",3,-1.0551196038490502,-0.3084830912899905
55-64,Female,Urban,Spanish,Master,2218,144,Desktop Only,3.6,5.3,0.143,0.03,57,0-20k,['DIY Crafts'],0,1.309073371159039,1.5178969469644341
18-24,Male,Rural,English,Technical,6491,194,Mobile Only,1.4,6.0,0.146,0.051,58,80k-100k,"['DIY Crafts', 'Travel and Adventure', 'Gardening']",3,-1.1285787655763715,-1.200690993842041
18-24,Female,Rural,Spanish,High School,245,360,Mobile Only,4.1,5.0,0.052,0.075,169,80k-100k,"['Reading and Literature', 'Gourmet Cooking', 'Digital Marketing', 'Data Science']",0,1.4133438543596284,-2.144704730771197
25-34,Male,Suburban,English,Bachelor,8042,149,Tablet,4.1,6.2,0.019,0.046,174,40k-60k,['Software Engineering'],3,-1.3669985930806183,-1.116239153585945
55-64,Male,Rural,Hindi,Technical,4665,115,Tablet,2.4,2.0,0.116,0.06,53,20k-40k,"['Music Production', 'Fashion Modelling']",3,-1.8000112907605548,-0.4332514555002365
65+,Male,Rural,English,Technical,292,142,Tablet,1.8,7.2,0.154,0.079,8,80k-100k,['Data Science'],3,-1.9825442780965379,-1.6406804704161901
25-34,Male,Suburban,Hindi,High School,5287,117,Mobile + Desktop,1.8,5.1,0.024,0.022,83,40k-60k,"['Pet Care', 'Fitness and Wellness', 'Music Production']",1,-1.245351780555833,0.5538919052426815
35-44,Male,Rural,Hindi,Technical,6737,187,Desktop Only,2.7,1.9,0.238,0.007,95,60k-80k,"['Travel and Adventure', 'Digital Marketing', 'DIY Crafts']",3,-1.8486887730699053,0.2295456429755229
25-34,Female,Rural,Mandarin,Technical,8343,307,Tablet,3.7,4.2,0.245,0.053,83,0-20k,['Pet Care'],2,1.2272835828723838,-0.8022675712823142
65+,Male,Rural,Hindi,Technical,2510,367,Mobile + Desktop,2.1,6.9,0.136,0.006,163,60k-80k,"['Fitness and Wellness', 'Digital Marketing', 'Gourmet Cooking']",1,-1.8446076847208472,0.6847879040385143
55-64,Male,Urban,Hindi,Bachelor,1920,389,Mobile + Desktop,3.2,7.3,0.238,0.077,107,100k+,"['Gourmet Cooking', 'Gardening', 'Software Engineering', 'Gaming']",1,-0.9360573152818357,2.205075718144425
55-64,Male,Suburban,English,High School,3064,405,Desktop Only,2.2,2.9,0.045,0.072,115,0-20k,"['Pet Care', 'Reading and Literature']",3,-0.863437299242145,-1.7142952750670843
35-44,Female,Suburban,Spanish,Technical,2621,368,Desktop Only,1.9,6.0,0.006,0.088,62,100k+,['Music Production'],0,1.4832038387142492,0.04320179251425746
35-44,Female,Suburban,Mandarin,Technical,2668,155,Mobile Only,0.6,1.7,0.01,0.064,86,100k+,"['Digital Marketing', 'Fashion Modelling', 'Investing and Finance']",2,1.534218081105461,-1.2847305921225036
25-34,Male,Urban,Hindi,Bachelor,5982,459,Mobile + Desktop,0.5,1.2,0.147,0.007,136,100k+,"['Fashion Modelling', 'Photography']",1,-1.2029753834966141,2.834405879420986
18-24,Male,Urban,Mandarin,High School,1967,83,Tablet,1.5,4.9,0.015,0.025,26,60k-80k,"['Photography', 'Data Science', 'Pet Care']",3,-1.6024243847982833,-0.2545764997111682
55-64,Female,Suburban,English,Master,7565,472,Desktop Only,2.3,5.9,0.24,0.081,135,60k-80k,"['Software Engineering', 'Music Production', 'Reading and Literature']",2,1.6492669518627867,-1.4049271315099428
55-64,Female,Urban,Hindi,Bachelor,7702,487,Mobile + Desktop,4.3,6.6,0.035,0.017,83,100k+,"['Music Production', 'Gardening']",2,1.8566046155055933,2.3488364162018227
65+,Female,Suburban,English,High School,3299,117,Tablet,4.1,3.4,0.076,0.07,103,80k-100k,"['Music Production', 'Investing and Finance', 'Data Science', 'Software Engineering']",0,0.5811565091967895,-2.743525205496825
65+,Male,Urban,Mandarin,Technical,6203,131,Mobile + Desktop,1.7,1.0,0.206,0.078,179,20k-40k,"['Eco-Friendly Living', 'Investing and Finance']",1,-2.0179349410231358,1.8739826653455596
35-44,Female,Rural,English,High School,340,26,Desktop Only,1.6,4.4,0.055,0.033,42,20k-40k,['Software Engineering'],4,0.26006697606912094,-1.4454415884437672
45-54,Male,Rural,Mandarin,High School,3540,205,Mobile Only,1.5,1.1,0.061,0.032,165,40k-60k,"['Software Engineering', 'Eco-Friendly Living']",3,-1.8964100138295064,-0.7103055095505597
55-64,Male,Suburban,English,High School,4731,336,Mobile + Desktop,2.0,1.6,0.161,0.056,121,60k-80k,['Fashion Modelling'],1,-1.4062313564823898,-1.1389727310960234
55-64,Male,Urban,Mandarin,Master,9699,327,Tablet,2.7,3.3,0.069,0.086,30,0-20k,"['Eco-Friendly Living', 'Photography']",3,-1.1791596298984015,0.6470514801481614
25-34,Male,Urban,Spanish,High School,8374,306,Desktop Only,2.5,4.1,0.054,0.022,140,80k-100k,"['DIY Crafts', 'Gourmet Cooking', 'Fashion Modelling']",0,-1.7420243706329694,1.585684249458574
35-44,Male,Rural,English,Master,5177,488,Mobile Only,1.5,3.0,0.064,0.094,54,40k-60k,"['Photography', 'Reading and Literature']",3,-1.194109994083515,-0.7928157096549734
18-24,Female,Rural,English,Technical,3868,261,Tablet,1.1,5.1,0.123,0.06,42,80k-100k,"['Digital Marketing', 'Pet Care']",0,1.2551141710018543,-1.8080710572456578
65+,Male,Urban,Spanish,Master,9242,496,Tablet,0.6,1.4,0.242,0.099,142,20k-40k,['Photography'],3,-1.826627800412508,1.575694482273332
45-54,Male,Urban,Spanish,Technical,8095,128,Tablet,1.2,2.0,0.208,0.009,46,40k-60k,"['Reading and Literature', 'Music Production', 'Fitness and Wellness', 'Investing and Finance']",3,-1.8789160679825672,2.193520423971333
25-34,Male,Urban,English,Technical,8902,171,Mobile + Desktop,3.7,5.9,0.071,0.013,41,60k-80k,['Photography'],1,-1.2989307536993264,2.1726957488133105
45-54,Female,Urban,Spanish,Master,6529,207,Desktop Only,1.6,2.0,0.091,0.083,158,0-20k,"['Gardening', 'Eco-Friendly Living']",0,1.6192934116685385,1.8898848266219377
45-54,Female,Urban,Hindi,Bachelor,3705,495,Tablet,2.6,5.5,0.116,0.086,144,40k-60k,['Eco-Friendly Living'],4,1.5032486530528024,1.769511068581738
25-34,Male,Urban,Mandarin,PhD,2273,54,Mobile + Desktop,3.2,1.4,0.245,0.045,53,0-20k,['Fitness and Wellness'],1,-1.5793069203355652,1.3837448177421323
18-24,Female,Suburban,Mandarin,High School,9814,323,Desktop Only,4.5,3.9,0.043,0.071,146,40k-60k,"['Eco-Friendly Living', 'Travel and Adventure', 'Digital Marketing', 'DIY Crafts']",4,1.2847829665806725,-0.9469214544452517
45-54,Male,Urban,Mandarin,PhD,6668,188,Desktop Only,4.5,2.2,0.089,0.087,50,0-20k,"['Gaming', 'Eco-Friendly Living']",3,-1.2213454871276275,1.4189958544051624
35-44,Male,Rural,Hindi,High School,2701,391,Mobile + Desktop,3.9,1.8,0.182,0.004,167,40k-60k,"['Gourmet Cooking', 'Eco-Friendly Living']",1,-2.0185165492333232,0.33883646345862733
45-54,Female,Suburban,Spanish,High School,2757,427,Mobile + Desktop,0.7,5.0,0.241,0.057,33,80k-100k,"['Reading and Literature', 'Digital Marketing', 'Gourmet Cooking']",0,1.2948073483789067,-1.1579172554414394
35-44,Male,Urban,Spanish,Technical,6180,53,Tablet,3.1,7.5,0.039,0.085,16,80k-100k,"['Reading and Literature', 'Photography']",0,-1.556946819760725,0.25973553462680354
